title,imdb,year,decade code,binary,code,clean_test,average_sentiment,budget,domgross
The Master,tt1560747,2012,1.0,FAIL,2012FAIL,notalk,0.6561640000000001,37500000,16247159.0
The Pirates! Band of Misfits,tt1430626,2012,1.0,FAIL,2012FAIL,notalk,0.8485720000000001,55000000,31051126.0
The Place Beyond the Pines,tt1817273,2012,1.0,FAIL,2012FAIL,notalk,0.7381400000000002,15000000,21403519.0
The Twilight Saga: Breaking Dawn - Part 2,tt1673434,2012,1.0,FAIL,2012FAIL,dubious,0.5874479999999999,136200000,292324737.0
The Vow,tt1606389,2012,1.0,PASS,2012PASS,ok,0.74424,8738320,125014030.0
The Watch,tt1298649,2012,1.0,FAIL,2012FAIL,men,0.583484,55000000,34353000.0
The Woman in Black,tt1596365,2012,1.0,FAIL,2012FAIL,notalk,-0.13895199999999994,15000000,54333290.0
The Words,tt1840417,2012,1.0,FAIL,2012FAIL,notalk,0.6935600000000001,6000000,11494838.0
Think Like a Man,tt1621045,2012,1.0,PASS,2012PASS,ok,0.9436559999999999,12000000,91547205.0
To Rome With Love,tt1859650,2012,1.0,FAIL,2012FAIL,men,0.8414959999999999,21500000,16684352.0
Total Recall,tt1386703,2012,1.0,FAIL,2012FAIL,notalk,0.8454719999999999,125000000,58877969.0
Underworld: Awakening,tt1496025,2012,1.0,PASS,2012PASS,ok,0.6248279999999999,70000000,62321039.0
Wanderlust,tt1655460,2012,1.0,PASS,2012PASS,ok,0.5525239999999999,32500000,17288155.0
What to Expect When You&#39;re Expecting,tt1586265,2012,1.0,PASS,2012PASS,ok,0.724324,37500000,41152203.0
Won&#39;t Back Down,tt1870529,2012,1.0,PASS,2012PASS,ok,0.5627759999999998,19000000,5310554.0
Wrath of the Titans,tt1646987,2012,1.0,FAIL,2012FAIL,notalk,0.2507240000000001,150000000,83670083.0
Wreck-It Ralph,tt1772341,2012,1.0,PASS,2012PASS,ok,0.98606,165000000,189412677.0
Zero Dark Thirty,tt1790885,2012,1.0,PASS,2012PASS,ok,-0.030648000000000005,52500000,95720716.0
30 Minutes or Less,tt1622547,2011,1.0,FAIL,2011FAIL,notalk,0.428068,28000000,37053924.0
50/50,tt1306980,2011,1.0,FAIL,2011FAIL,men,0.6758319999999999,8000000,35016118.0
A Dangerous Method,tt1571222,2011,1.0,FAIL,2011FAIL,dubious,0.5895040000000001,20000000,5702083.0
A Lonely Place to Die,tt1422136,2011,1.0,PASS,2011PASS,ok,0.4119479999999999,4000000,
A Very Harold &amp; Kumar 3D Christmas,tt1268799,2011,1.0,FAIL,2011FAIL,notalk,0.935476,20000000,35061031.0
Another Earth,tt1549572,2011,1.0,PASS,2011PASS,ok,0.6929919999999998,175000,1321194.0
Apollo 18,tt1772240,2011,1.0,FAIL,2011FAIL,nowomen,-0.07926400000000003,5000000,17686929.0
Arthur Christmas,tt1430607,2011,1.0,FAIL,2011FAIL,notalk,0.9032680000000001,85000000,46462469.0
Attack the Block,tt1478964,2011,1.0,PASS,2011PASS,ok,0.390864,13000000,1024175.0
Bad Teacher,tt1284575,2011,1.0,PASS,2011PASS,ok,0.17980000000000002,19000000,100292856.0
Battle: Los Angeles,tt1217613,2011,1.0,FAIL,2011FAIL,notalk,0.08474400000000001,70000000,83552429.0
Beastly,tt1152398,2011,1.0,FAIL,2011FAIL,notalk,0.6108360000000002,17000000,27865571.0
Blackthorn,tt1629705,2011,1.0,FAIL,2011FAIL,notalk,0.8357960000000001,4500000,200558.0
Bridesmaids,tt1478338,2011,1.0,PASS,2011PASS,ok,0.78776,32500000,169106725.0
Captain America: The First Avenger,tt0458339,2011,1.0,FAIL,2011FAIL,notalk,0.8606600000000001,140000000,176654505.0
Cars 2,tt1216475,2011,1.0,FAIL,2011FAIL,men,0.4957720000000001,200000000,191450875.0
Circumstance,tt1684628,2011,1.0,PASS,2011PASS,ok,0.317052,900000,454121.0
Colombiana,tt1657507,2011,1.0,FAIL,2011FAIL,notalk,0.4573999999999999,40000000,36665854.0
Conan the Barbarian,tt0816462,2011,1.0,FAIL,2011FAIL,dubious,0.19301600000000002,20000000,38264085.0
Contagion,tt1598778,2011,1.0,PASS,2011PASS,ok,0.31132799999999994,60000000,75658097.0
Coriolanus,tt1372686,2011,1.0,FAIL,2011FAIL,men,0.24866666666666656,10000000,749641.0
Cowboys &amp; Aliens,tt0409847,2011,1.0,FAIL,2011FAIL,notalk,0.7125319999999998,163000000,100240551.0
Detention,tt1701990,2011,1.0,PASS,2011PASS,ok,0.11678,10000000,
Diary of a Wimpy Kid: Rodrick Rules,tt1650043,2011,1.0,FAIL,2011FAIL,notalk,0.6357600000000001,18000000,52698535.0
Dolphin Tale,tt1564349,2011,1.0,FAIL,2011FAIL,men,0.896732,37000000,72286779.0
Dream House,tt1462041,2011,1.0,PASS,2011PASS,ok,0.455048,50000000,21302340.0
Drive,tt0780504,2011,1.0,FAIL,2011FAIL,dubious,0.6185120000000001,15000000,35060689.0
Fast Five,tt1596343,2011,1.0,PASS,2011PASS,ok,0.7484719999999999,125000000,209837675.0
Final Destination 5,tt1622979,2011,1.0,FAIL,2011FAIL,men,0.042856000000000005,40000000,42587643.0
Footloose,tt1068242,2011,1.0,PASS,2011PASS,ok,0.563552,24000000,51802742.0
Fright Night,tt1438176,2011,1.0,FAIL,2011FAIL,dubious,0.459916,30000000,18298649.0
Green Lantern,tt1133985,2011,1.0,FAIL,2011FAIL,notalk,0.607172,200000000,116601172.0
Hall Pass,tt0480687,2011,1.0,FAIL,2011FAIL,men,0.501152,36000000,45060734.0
Hanna,tt0993842,2011,1.0,PASS,2011PASS,ok,0.17245599999999994,30000000,40259119.0
Harry Potter and the Deathly Hallows: Part 2,tt1201607,2011,1.0,FAIL,2011FAIL,notalk,0.5582199999999999,125000000,381011219.0
Haywire,tt1506999,2011,1.0,FAIL,2011FAIL,nowomen,0.188584,23000000,18942396.0
Hesher,tt1403177,2011,1.0,FAIL,2011FAIL,notalk,0.38848,7000000,382946.0
Higher Ground,tt1562568,2011,1.0,PASS,2011PASS,ok,0.730748,1800000,841056.0
Hobo with a Shotgun,tt1640459,2011,1.0,FAIL,2011FAIL,nowomen,0.424044,3000000,703372.0
Hop,tt1411704,2011,1.0,FAIL,2011FAIL,men,0.6758240000000001,63000000,108085305.0
Horrible Bosses,tt1499658,2011,1.0,PASS,2011PASS,ok,0.7089960000000001,35000000,117538559.0
Hugo,tt0970179,2011,1.0,FAIL,2011FAIL,dubious,0.9499280000000001,180000000,73864507.0
I Am Number Four,tt1464540,2011,1.0,FAIL,2011FAIL,notalk,0.5620280000000001,50000000,55100437.0
Immortals,tt1253864,2011,1.0,FAIL,2011FAIL,men,0.632836,75000000,83504017.0
In Time,tt1637688,2011,1.0,FAIL,2011FAIL,notalk,0.4344879999999999,35000000,37553932.0
Iris,tt1606618,2011,1.0,PASS,2011PASS,ok,0.9434,5500000,5580479.0
Jin ling shi san chai,tt1410063,2011,1.0,PASS,2011PASS,ok,0.05032799999999995,100000000,311434.0
Johnny English Reborn,tt1634122,2011,1.0,FAIL,2011FAIL,dubious,0.7553240000000001,45000000,8305970.0
Jumping the Broom,tt1640484,2011,1.0,PASS,2011PASS,ok,0.594352,7000000,37295394.0
Just Go with It,tt1564367,2011,1.0,FAIL,2011FAIL,dubious,0.7227039999999999,80000000,103028109.0
Kill List,tt1788391,2011,1.0,FAIL,2011FAIL,dubious,-0.422564,800000,29063.0
Killer Elite,tt1448755,2011,1.0,FAIL,2011FAIL,nowomen,0.35212,70000000,25124986.0
Kung Fu Panda 2,tt1302011,2011,1.0,PASS,2011PASS,ok,0.32647999999999994,150000000,165249063.0
Le Havre,tt1508675,2011,1.0,FAIL,2011FAIL,dubious,0.8392639999999997,5500000,611709.0
Like Crazy,tt1758692,2011,1.0,PASS,2011PASS,ok,0.68372,250000,3395391.0
Limitless,tt1219289,2011,1.0,FAIL,2011FAIL,notalk,0.6778400000000001,27000000,79249455.0
Margaret,tt0466893,2011,1.0,PASS,2011PASS,ok,0.150356,14000000,47185.0
Margin Call,tt1615147,2011,1.0,FAIL,2011FAIL,notalk,0.6287600000000001,3400000,5353586.0
Mars Needs Moms,tt1305591,2011,1.0,FAIL,2011FAIL,dubious,0.45136800000000005,150000000,21392758.0
Martha Marcy May Marlene,tt1441326,2011,1.0,PASS,2011PASS,ok,0.19122000000000006,1000000,2981038.0
Melancholia,tt1527186,2011,1.0,PASS,2011PASS,ok,0.280072,9400000,3030848.0
Midnight in Paris,tt1605783,2011,1.0,PASS,2011PASS,ok,0.9463600000000001,30000000,56816662.0
Mission: Impossible - Ghost Protocol,tt1229238,2011,1.0,FAIL,2011FAIL,notalk,0.7357720000000001,145000000,209397903.0
Moneyball,tt1210166,2011,1.0,FAIL,2011FAIL,notalk,0.939552,50000000,75605492.0
Mr. Popper&#39;s Penguins,tt1396218,2011,1.0,FAIL,2011FAIL,notalk,0.8038360000000001,55000000,68224452.0
New Year&#39;s Eve,tt1598822,2011,1.0,PASS,2011PASS,ok,0.6617720000000001,26000000,54544638.0
No Strings Attached,tt1411238,2011,1.0,PASS,2011PASS,ok,0.6933520000000002,25000000,70662220.0
October Baby,tt1720182,2011,1.0,PASS,2011PASS,ok,0.7369719999999998,1000000,5355847.0
Our Idiot Brother,tt1637706,2011,1.0,PASS,2011PASS,ok,0.5142120000000001,5000000,24814830.0
Paranormal Activity 3,tt1778304,2011,1.0,PASS,2011PASS,ok,0.130056,5000000,104028807.0
Paul,tt1092026,2011,1.0,PASS,2011PASS,ok,0.8824000000000001,40000000,37412945.0
Pirates of the Caribbean: On Stranger Tides,tt1298650,2011,1.0,FAIL,2011FAIL,notalk,0.7090920000000001,250000000,241063875.0
Priest,tt0822847,2011,1.0,FAIL,2011FAIL,notalk,0.357704,60000000,29136626.0
